layer,kappa,sigma_min,sigma_max,layer_type,exploitation_score
model.embed_tokens,759435.4717074267,1.3255892019948974,4.172554429372152,stable,10.0
model.layers.0.self_attn.q_proj,9848625.169252682,17.078549084277608,103.12633488972982,stable,10.0
model.layers.0.self_attn.k_proj,3978495.702458849,17.06586252552482,74.45828272501628,stable,10.0
model.layers.0.self_attn.v_proj,2542647.4459071173,8.994086186509264,26.05521443684896,stable,10.0
model.layers.0.self_attn.o_proj,16.00434901915006,1.852819836139679,27.94092305501302,stable,10.0
model.layers.0.mlp.gate_proj,7.608513935553869,29.994665145874023,225.88807423909506,stable,10.0
model.layers.0.mlp.up_proj,2.8301710485042975,24.753233877817788,68.7382973988851,stable,10.0
model.layers.0.mlp.down_proj,3.612146357778114,3.8476070562998452,13.74569034576416,stable,10.0
model.layers.1.self_attn.q_proj,8.75391437116619,9.869678401947022,86.27521336873373,stable,10.0
model.layers.1.self_attn.k_proj,6.893751834744507,9.846771017710369,67.58130442301432,stable,10.0
model.layers.1.self_attn.v_proj,10.166516668585631,3.345900535583496,34.001260630289714,stable,10.0
model.layers.1.self_attn.o_proj,36.49366647389749,0.5999107738335927,18.994375896453857,stable,10.0
model.layers.1.mlp.gate_proj,9.047189192027192,25.151709747314452,226.5344202677409,stable,10.0
model.layers.1.mlp.up_proj,4.3954954246587805,15.301737435658772,67.23479194641114,stable,10.0
model.layers.1.mlp.down_proj,7.128439720162754,2.775617416699727,19.3977063814799,stable,10.0
model.layers.2.self_attn.q_proj,12.956753019535252,7.441284132003784,96.38096720377604,stable,10.0
model.layers.2.self_attn.k_proj,9.819927211475122,8.765358702341716,86.02942454020182,stable,10.0
model.layers.2.self_attn.v_proj,7.939811341618003,4.279421838124593,33.95625877380371,stable,10.0
model.layers.2.self_attn.o_proj,12.458517924279688,3.1064826965332033,37.86085243225098,stable,10.0
model.layers.2.mlp.gate_proj,13.543974001407545,11.227262783050538,151.8723055521647,stable,10.0
model.layers.2.mlp.up_proj,6.884355805014048,8.358926010131835,57.534568786621094,stable,10.0
model.layers.2.mlp.down_proj,21.59654795278482,0.6151561975479126,13.270601018269856,stable,10.0
model.layers.3.self_attn.q_proj,16.432629896953305,6.668651564915975,109.53965072631836,stable,10.0
model.layers.3.self_attn.k_proj,9.882823679045993,9.102523485819498,89.8723887125651,stable,10.0
model.layers.3.self_attn.v_proj,5.634580261485196,5.856774314244588,32.9909631729126,stable,10.0
model.layers.3.self_attn.o_proj,15.285132959886173,2.2832041144371034,33.51941331227621,stable,10.0
model.layers.3.mlp.gate_proj,14.065644255682173,13.34594202041626,187.63064676920573,stable,10.0
model.layers.3.mlp.up_proj,7.301039434497941,9.948765087127686,72.62658131917318,stable,10.0
model.layers.3.mlp.down_proj,19.42127037390477,1.0852438767751058,21.07498410542806,stable,10.0
model.layers.4.self_attn.q_proj,13.908445581492755,6.947885576883952,96.60644022623698,stable,10.0
model.layers.4.self_attn.k_proj,6.875156075849437,12.19974873860677,83.75369745890299,stable,10.0
model.layers.4.self_attn.v_proj,7.873001632306344,3.7891046444574994,29.82469285329183,stable,10.0
model.layers.4.self_attn.o_proj,9.029108878447625,2.4478891372680662,21.85894775390625,stable,10.0
model.layers.4.mlp.gate_proj,18.66590014959315,8.000788100560506,149.1862065633138,stable,10.0
model.layers.4.mlp.up_proj,9.570650759919156,6.519404029846191,62.39120699564616,stable,10.0
model.layers.4.mlp.down_proj,36.68762635991095,0.2812784930070241,10.310792922973633,stable,10.0
model.layers.5.self_attn.q_proj,11.970003315517241,8.415826066335041,100.65051015218098,stable,10.0
model.layers.5.self_attn.k_proj,6.279768542297009,12.921997197469075,80.15199635823568,stable,10.0
model.layers.5.self_attn.v_proj,5.2701046738277055,6.236325883865357,32.86209570566813,stable,10.0
model.layers.5.self_attn.o_proj,8.432370436196885,2.8904486258824664,24.147739092508953,stable,10.0
model.layers.5.mlp.gate_proj,15.070990529753187,8.107553927103679,122.04433034261068,stable,10.0
model.layers.5.mlp.up_proj,8.902697013167963,7.184713395436605,63.9494379679362,stable,10.0
model.layers.5.mlp.down_proj,22.767409887101042,0.2984019070863724,6.789505672454834,stable,10.0
model.layers.6.self_attn.q_proj,9.735666226300417,10.045182291666666,97.71706975301107,stable,10.0
model.layers.6.self_attn.k_proj,4.8705728863123605,14.757907549540201,70.86946258544921,stable,10.0
model.layers.6.self_attn.v_proj,6.949766779844131,7.17538587252299,49.823193359375,stable,10.0
model.layers.6.self_attn.o_proj,15.777277874721717,3.308634805679321,50.867471567789714,stable,10.0
model.layers.6.mlp.gate_proj,16.300043045027866,5.509500360488891,89.49087015787761,stable,10.0
model.layers.6.mlp.up_proj,11.343481718016177,4.145688867568969,47.01853345235189,stable,10.0
model.layers.6.mlp.down_proj,37.30412622363022,0.1174737478295962,4.3813293218612674,stable,10.0
model.layers.7.self_attn.q_proj,10.319806796940327,8.90149580637614,91.78080520629882,stable,10.0
model.layers.7.self_attn.k_proj,5.690351869855061,13.72358242670695,76.70130322774251,stable,10.0
model.layers.7.self_attn.v_proj,11.03489470621259,2.980864397684733,32.89483820597331,stable,10.0
model.layers.7.self_attn.o_proj,19.112655832335346,1.097052240371704,18.547752094268798,stable,10.0
model.layers.7.mlp.gate_proj,15.190134090651268,9.096870390574137,138.07543360392253,stable,10.0
model.layers.7.mlp.up_proj,6.894829662609015,9.359794362386067,64.51719983418782,stable,10.0
model.layers.7.mlp.down_proj,14.24755804586479,0.44379855692386627,6.319168074925741,stable,10.0
model.layers.8.self_attn.q_proj,6.585670125940493,14.252069346110027,93.42915751139323,stable,10.0
model.layers.8.self_attn.k_proj,5.695253524883388,12.29568796157837,68.13123016357422,stable,10.0
model.layers.8.self_attn.v_proj,6.964944186081127,6.892943064371745,47.98385416666667,stable,10.0
